field1,field2,field3,field4,field5,field6,field7,field8,_GC_TYPE,_CLEANADDR,경도,위도
강원도 춘천시1,강원도 춘천시 근화동(공지사거리 인근),16,22,0,0,20,2,대,강원특별자치도 춘천시 근화동,127.71454849318116,37.885118886126925
강원도 원주시1,강원도 원주시 단계동(방일해장국 인근),39,51,0,7,42,2,대,강원특별자치도 원주시 단계동,127.92673200728824,37.34971892755442
강원도 춘천시2,강원도 춘천시 동내면(거두사거리 인근),13,19,0,2,12,5,대,강원특별자치도 춘천시 동내면,127.78134004670649,37.83755890458413
강원도 춘천시3,강원도 춘천시 운교동(운교사거리 인근),13,19,0,0,14,5,대,강원특별자치도 춘천시 운교동,127.73267794073367,37.8769919172772
강원도 원주시2,강원도 원주시 인동(목우촌닭고기원주대리 인근),26,43,0,8,32,3,대,강원특별자치도 원주시 인동,127.9547452953334,37.345821021848614
강원도 원주시3,강원도 원주시 단계동(삼성숯불갈비 인근),25,38,0,7,30,1,대,강원특별자치도 원주시 단계동,127.92673200728824,37.34971892755442
강원도 강릉시1,강원도 강릉시 교동(강릉역육거리 인근),21,32,0,7,25,0,대,강원특별자치도 강릉시 교동,128.88833748645632,37.76944300633916
강원도 동해시1,강원도 동해시 이도동(이원사거리 인근),7,8,0,2,6,0,대,강원특별자치도 동해시 이도동,129.10696100059906,37.47676330316342
강원도 강릉시2,강원도 강릉시 옥천동(옥천오거리 인근),16,29,1,2,26,0,대,강원특별자치도 강릉시 옥천동,128.9012235887042,37.759222012871696
강원도 강릉시3,강원도 강릉시 교동(임당사거리 인근),14,19,0,0,19,0,대,강원특별자치도 강릉시 교동,128.88833748645632,37.76944300633916
강원도 동해시2,강원도 동해시 효가동(한중대입구교차로 인근),7,12,0,1,9,2,대,강원특별자치도 동해시 효가동,129.11059471291136,37.49787786693635
강원도 태백시2,강원도 태백시 황지동(황지교사거리 인근),9,14,0,2,12,0,대,강원특별자치도 태백시 황지동,128.93240633457552,37.17657431786851
강원도 동해시3,강원도 동해시 발한동(발한삼거리 인근),7,9,0,4,5,0,대,강원특별자치도 동해시 발한동,129.09339309342707,37.551894064841406
강원도 태백시3,강원도 태백시 문곡동(장성여고입구 인근),6,14,0,2,12,0,대,강원특별자치도 태백시 문곡동,128.99832760839908,37.124455456462215
강원도 속초시1,강원도 속초시 교동(만천사거리 인근),17,20,0,7,12,1,대,강원특별자치도 속초시 교동,128.5731274783198,38.201843538414614
강원도 태백시1,강원도 태백시 황지동(황지119안전센터 인근),11,15,0,1,14,0,대,강원특별자치도 태백시 황지동,128.93240633457552,37.17657431786851
강원도 속초시2,강원도 속초시 동명동(수복탑사거리 인근),17,32,0,5,27,0,대,강원특별자치도 속초시 동명동,128.59033860084614,38.2101396610125
강원도 삼척시2,강원도 삼척시 교동(삼척IC 인근),7,9,0,0,9,0,대,강원특별자치도 삼척시 교동,129.17240813125676,37.45401211301254
강원도 속초시3,강원도 속초시 조양동(조양동6346 인근),15,28,0,7,20,1,대,강원특별자치도 속초시 조양동,128.58242380829185,38.183987501113
강원도 삼척시3,강원도 삼척시 남양동(의료원앞사거리 인근),5,5,0,2,3,0,대,강원특별자치도 삼척시 남양동,129.1637424206232,37.43263434993012
강원도 삼척시1,강원도 삼척시 정상동(직행버스터미널입구 인근),10,15,0,5,10,0,대,강원특별자치도 삼척시 정상동,129.17775937203965,37.44027724685501
강원도 홍천군1,강원도 홍천군 홍천읍(홍천TG 인근),4,9,0,1,8,0,대,강원특별자치도 홍천군 홍천읍,127.84998444116898,37.671222532354406
강원도 홍천군3,강원도 홍천군 홍천읍(하오안육교 인근),3,5,0,0,5,0,대,강원특별자치도 홍천군 홍천읍,127.84998444116898,37.671222532354406
강원도 횡성군1,강원도 횡성군 횡성읍(횡성지구대 인근),10,13,0,1,12,0,대,강원특별자치도 횡성군 횡성읍,127.99271860888034,37.49851934822263
강원도 횡성군2,강원도 횡성군 횡성읍(한성막국수 인근),6,7,0,2,4,1,대,강원특별자치도 횡성군 횡성읍,127.99271860888034,37.49851934822263
강원도 홍천군2,강원도 홍천군 서석면(풍암교 인근),4,10,0,2,7,1,대,강원특별자치도 홍천군 서석면,128.22020079111155,37.72743510328506
강원도 영월군3,강원도 영월군 영월읍(하송사거리 인근),4,4,0,1,3,0,대,강원특별자치도 영월군 영월읍,128.50528588682636,37.20089743169954
강원도 영월군1,강원도 영월군 영월읍(군청사거리 인근),8,11,0,4,7,0,대,강원특별자치도 영월군 영월읍,128.50528588682636,37.20089743169954
강원도 횡성군3,강원도 횡성군 횡성읍(읍상리454 인근),4,4,0,1,2,1,대,강원특별자치도 횡성군 횡성읍,127.99271860888034,37.49851934822263
강원도 평창군1,강원도 평창군 진부면(진부시외버스터미널 인근),5,10,1,3,6,0,대,강원특별자치도 평창군 진부면,128.56518077557664,37.63916937252833
강원도 영월군2,강원도 영월군 영월읍(덕포삼거리 인근),6,10,0,2,2,6,대,강원특별자치도 영월군 영월읍,128.50528588682636,37.20089743169954
강원도 평창군2,강원도 평창군 평창읍(하리428 인근),4,5,0,0,5,0,대,강원특별자치도 평창군 평창읍,128.38961290048252,37.35888803413639
강원도 정선군3,강원도 정선군 신동읍(예미교차로 인근),4,11,0,5,6,0,대,강원특별자치도 정선군 신동읍,128.6493289015677,37.244185856600055
강원도 정선군2,강원도 정선군 남면(무릉사거리 인근),4,6,0,1,5,0,대,강원특별자치도 정선군 남면,128.73316956191275,37.274609270205744
강원도 정선군1,강원도 정선군 사북읍(사북오거리 인근),4,7,0,2,5,0,대,강원특별자치도 정선군 사북읍,128.84370815446033,37.23488031920729
강원도 평창군3,강원도 평창군 평창읍(평창종합버스터미널 인근),4,8,0,3,5,0,대,강원특별자치도 평창군 평창읍,128.38961290048252,37.35888803413639
강원도 화천군1,강원도 화천군 간동면(간척사거리 인근),2,2,0,0,2,0,대,강원특별자치도 화천군 간동면,127.82437070524601,38.06337213739253
강원도 철원군2,강원도 철원군 갈말읍(군탄사거리 인근),4,11,0,0,11,0,대,강원특별자치도 철원군 갈말읍,127.35120000940098,38.18996391922166
강원도 철원군3,강원도 철원군 갈말읍(내대리5203 인근),4,5,0,2,3,0,대,강원특별자치도 철원군 갈말읍,127.35120000940098,38.18996391922166
강원도 철원군1,강원도 철원군 동송읍(이평사거리 인근),6,8,0,3,5,0,대,강원특별자치도 철원군 동송읍,127.23757958172197,38.2357737525246
강원도 화천군2,강원도 화천군 하남면(논미삼거리 인근),2,4,0,0,3,1,대,강원특별자치도 화천군 하남면,127.66699439964448,38.0786843703619
강원도 화천군3,강원도 화천군 화천읍(화천대교오거리 인근),2,2,0,0,2,0,대,강원특별자치도 화천군 화천읍,127.7911418812515,38.18534753804016
강원도 인제군1,강원도 인제군 인제읍(인제교차로 인근),6,12,0,0,12,0,대,강원특별자치도 인제군 인제읍,128.26169450180603,38.08475705305061
강원도 양구군3,강원도 양구군 양구읍(송청삼거리 인근),2,3,0,1,2,0,대,강원특별자치도 양구군 양구읍,127.9487434765353,38.10688467105429
강원도 양구군1,강원도 양구군 양구읍(상리2673 인근),5,5,0,0,5,0,대,강원특별자치도 양구군 양구읍,127.9487434765353,38.10688467105429
강원도 고성군2,강원도 고성군 토성면(청간사거리 인근),4,6,0,2,4,0,대,강원특별자치도 고성군 토성면,128.50146787367171,38.245106498069255
강원도 양구군2,강원도 양구군 양구읍(정림교동측 인근),4,5,0,0,4,1,대,강원특별자치도 양구군 양구읍,127.9487434765353,38.10688467105429
강원도 인제군3,강원도 인제군 상남면(인제IC 인근),3,8,0,0,1,7,대,강원특별자치도 인제군 상남면,128.2933370030116,37.8816200536752
강원도 고성군1,강원도 고성군 토성면(천진교차로 인근),6,21,0,8,13,0,대,강원특별자치도 고성군 토성면,128.50146787367171,38.245106498069255
강원도 인제군2,강원도 인제군 북면(원통교차로 인근),4,6,0,1,5,0,대,강원특별자치도 인제군 북면,128.27954018514896,38.17632843758551
강원도 고성군3,강원도 고성군 거진읍(복천교 인근),3,4,0,2,2,0,대,강원특별자치도 고성군 거진읍,128.4040494817469,38.432275974458605
강원도 양양군1,강원도 양양군 양양읍(남문리35 인근),7,10,0,2,7,1,대,강원특별자치도 양양군 양양읍,128.60843857580812,38.08201968345961
강원도 양양군2,강원도 양양군 양양읍(남단교차로 인근),4,5,0,2,3,0,대,강원특별자치도 양양군 양양읍,128.60843857580812,38.08201968345961
강원도 양양군3,강원도 양양군 강현면(공항삼거리 인근),4,6,0,3,3,0,대,강원특별자치도 양양군 강현면,128.5542042893499,38.13214467777285