구분,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,구분,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,구분,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,구분,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,구분,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비,대   수,구성비
1월,"41,685,736",8.0%,"12,934,446",8.1%,"2,445,731",7.8%,"1,410,905",7.9%,"12,549,895",7.7%,"2,845,858",8.3%,"332,746",8.7%,"3,989,669",8.2%,1월,"10,700,673",8.0%,"7,668,181",7.7%,"474,650",7.7%,"12,783,576",7.9%,"8,518,897",7.7%,"6,762,903",8.0%,"16,658,760",7.8%,"1,168,234",7.9%,1월,"15,699,226",7.0%,"1,371,903",7.9%,"7,885,736",8.3%,"26,787,823",8.0%,"2,354,427",7.9%,"3,899,681",8.3%,"556,828",8.3%,"2,257,236",7.9%,1월,"4,742,076",8.1%,"1,003,478",8.1%,"1,761,199",7.7%,"66,405",9.1%,"7,463,590",7.8%,"1,124,474",7.5%,"2,007,080",7.9%,"1,471,210",8.3%,1월,"1,639,812",4.4%,"3,434,206",7.2%,,,"6,224,302",8.1%,"1,656,932",7.0%,"1,309,654",6.5%,"4,169,437",7.5%,,,"245,455,974",7.8%
2월,"37,195,433",7.2%,"11,410,011",7.2%,"2,160,372",6.9%,"1,223,566",6.8%,"11,168,263",6.9%,"2,497,116",7.3%,"302,109",7.9%,"3,511,005",7.2%,2월,"9,540,890",7.2%,"6,795,577",6.9%,"421,773",6.8%,"11,369,495",7.0%,"7,620,611",6.9%,"6,083,729",7.2%,"14,915,420",7.0%,"1,073,935",7.3%,2월,"14,052,600",6.2%,"1,206,187",6.9%,"6,891,186",7.2%,"23,912,452",7.2%,"2,065,547",6.9%,"3,450,980",7.3%,"495,561",7.4%,"1,962,480",6.8%,2월,"4,250,488",7.3%,"863,856",7.0%,"1,581,761",6.9%,"59,917",8.2%,"6,613,977",6.9%,"1,012,706",6.7%,"1,766,582",7.0%,"1,311,466",7.4%,2월,"1,664,586",4.4%,"3,436,195",7.3%,,,"6,184,737",8.0%,"1,750,846",7.4%,"1,511,881",7.5%,"4,199,638",7.6%,,,"218,401,179",7.0%
3월,"39,418,448",7.6%,"12,031,202",7.6%,"2,340,958",7.4%,"1,251,901",7.0%,"12,042,354",7.4%,"2,094,651",6.1%,"323,384",8.4%,"3,721,753",7.7%,3월,"9,837,121",7.4%,"6,414,538",6.5%,"479,322",7.8%,"12,365,958",7.6%,"8,728,625",7.9%,"6,383,533",7.6%,"16,129,633",7.6%,"1,085,780",7.4%,3월,"15,163,874",6.7%,"1,100,676",6.3%,"6,115,036",6.4%,"26,542,432",8.0%,"2,105,107",7.0%,"3,712,873",7.9%,"552,381",8.2%,"2,164,646",7.5%,3월,"4,801,995",8.2%,"847,076",6.8%,"1,928,613",8.5%,"61,914",8.5%,"6,167,673",6.5%,"1,659,936",11.0%,"1,928,799",7.6%,"1,269,058",7.1%,3월,"1,882,456",5.0%,"3,940,107",8.3%,,,"6,940,106",9.0%,"1,986,511",8.4%,"1,743,454",8.7%,"4,682,879",8.5%,"53,421",0.2%,"231,415,744",7.4%
4월,"43,551,831",8.4%,"13,517,774",8.5%,"2,665,992",8.5%,"1,530,516",8.5%,"13,647,576",8.4%,"2,878,867",8.4%,"321,076",8.4%,"4,099,308",8.4%,4월,"11,444,335",8.6%,"8,126,304",8.2%,"504,919",8.2%,"13,854,921",8.5%,"9,367,856",8.4%,"7,168,675",8.5%,"18,186,196",8.5%,"1,231,093",8.4%,4월,"19,190,941",8.5%,"1,413,128",8.1%,"7,845,229",8.2%,"28,195,395",8.5%,"2,571,556",8.6%,"3,983,755",8.5%,"573,044",8.5%,"2,410,659",8.4%,4월,"5,025,657",8.6%,"1,054,216",8.5%,"1,923,384",8.4%,"60,599",8.3%,"7,900,295",8.3%,"1,167,419",7.8%,"2,168,092",8.5%,"1,450,993",8.2%,4월,"2,074,310",5.5%,"4,000,150",8.4%,,,"6,780,843",8.8%,"2,064,834",8.7%,"1,666,793",8.3%,"4,578,696",8.3%,"2,399,967",9.0%,"265,574,298",8.5%
5월,"46,253,965",8.9%,"14,463,251",9.1%,"2,917,901",9.3%,"1,699,009",9.5%,"14,493,976",8.9%,"3,119,149",9.1%,"338,720",8.8%,"4,434,253",9.1%,5월,"12,331,028",9.3%,"8,804,625",8.9%,"543,285",8.8%,"14,887,505",9.2%,"10,019,553",9.0%,"7,716,034",9.1%,"19,408,304",9.1%,"1,339,491",9.1%,5월,"20,745,269",9.2%,"1,612,895",9.3%,"8,552,590",9.0%,"29,545,050",8.9%,"2,839,811",9.5%,"4,182,114",8.9%,"583,114",8.7%,"2,545,745",8.9%,5월,"5,205,419",8.9%,"1,173,915",9.5%,"2,063,448",9.1%,"63,396",8.7%,"8,492,132",8.9%,"1,289,124",8.6%,"2,339,934",9.2%,"1,621,618",9.1%,5월,"3,716,707",9.9%,"4,164,598",8.8%,,,"6,427,681",8.4%,"2,151,652",9.1%,"1,797,869",9.0%,"4,775,682",8.6%,"2,851,134",10.7%,"284,191,033",9.0%
6월,"43,377,863",8.4%,"13,186,780",8.3%,"2,630,886",8.4%,"1,544,345",8.6%,"13,517,103",8.3%,"2,846,572",8.3%,"319,973",8.3%,"4,035,941",8.3%,6월,"11,295,697",8.5%,"8,146,718",8.2%,"516,354",8.4%,"13,825,572",8.5%,"9,417,997",8.5%,"7,068,516",8.4%,"18,184,383",8.5%,"1,263,239",8.6%,6월,"19,282,748",8.6%,"1,542,327",8.8%,"8,050,956",8.4%,"27,792,094",8.3%,"2,488,507",8.3%,"3,890,166",8.3%,"542,981",8.1%,"2,383,851",8.3%,6월,"4,876,582",8.3%,"1,066,872",8.6%,"1,932,895",8.5%,"59,508",8.2%,"7,873,101",8.2%,"1,176,031",7.8%,"2,163,484",8.5%,"1,474,535",8.3%,6월,"3,752,033",10.0%,"3,933,972",8.3%,,,"6,182,073",8.0%,"2,088,294",8.8%,"1,654,967",8.3%,"4,595,095",8.3%,"2,753,216",10.4%,"264,311,793",8.4%
7월,"44,870,850",8.6%,"13,616,227",8.6%,"2,730,287",8.7%,"1,540,907",8.6%,"13,810,663",8.5%,"2,987,128",8.8%,"334,755",8.7%,"4,192,277",8.6%,7월,"11,537,965",8.7%,"8,366,118",8.4%,"538,457",8.7%,"14,282,801",8.8%,"9,753,428",8.8%,"7,322,805",8.7%,"18,870,551",8.9%,"1,340,868",9.1%,7월,"20,030,044",8.9%,"1,722,668",9.9%,"8,698,430",9.1%,"28,813,930",8.6%,"2,543,338",8.5%,"4,056,217",8.6%,"585,350",8.7%,"2,477,508",8.6%,7월,"5,067,691",8.7%,"1,076,862",8.7%,"1,963,560",8.6%,"62,299",8.6%,"8,065,314",8.4%,"1,272,981",8.5%,"2,205,319",8.7%,"1,538,459",8.7%,7월,"3,779,156",10.0%,"4,101,344",8.7%,,,"6,338,983",8.2%,"2,049,099",8.6%,"1,698,996",8.5%,"4,708,534",8.5%,"2,937,518",11.1%,"273,859,230",8.7%
8월,"48,983,063",9.4%,"14,068,259",8.9%,"2,894,688",9.2%,"1,607,970",9.0%,"17,780,505",10.9%,"3,116,331",9.1%,"327,694",8.5%,"4,428,410",9.1%,8월,"11,903,715",8.9%,"12,467,856",12.6%,"548,652",8.9%,"14,515,406",8.9%,"9,734,784",8.8%,"7,487,840",8.9%,"18,962,225",8.9%,"1,388,563",9.4%,8월,"24,393,499",10.8%,"1,862,833",10.7%,"9,312,688",9.8%,"28,494,302",8.6%,"2,762,461",9.2%,"4,064,848",8.7%,"576,874",8.6%,"2,474,159",8.6%,8월,"4,937,610",8.4%,"1,132,434",9.2%,"1,966,102",8.6%,"62,460",8.6%,"12,057,111",12.6%,"1,362,872",9.1%,"2,214,124",8.7%,"1,679,284",9.5%,8월,"3,752,048",10.0%,"3,992,244",8.4%,,,"6,273,266",8.2%,"2,070,217",8.7%,"1,801,978",9.0%,"4,584,526",8.3%,"3,000,747",11.3%,"297,684,547",9.5%
9월,"38,984,018",7.5%,"11,655,918",7.3%,"2,310,413",7.3%,"1,357,199",7.6%,"12,183,271",7.5%,"2,467,013",7.2%,"285,905",7.5%,"3,489,132",7.2%,9월,"9,813,471",7.4%,"7,116,039",7.2%,"491,459",8.0%,"12,446,901",7.7%,"8,551,972",7.7%,"6,293,820",7.5%,"16,326,569",7.7%,"1,078,796",7.3%,9월,"16,949,541",7.5%,"1,231,636",7.1%,"6,790,687",7.1%,"28,304,309",8.5%,"2,143,535",7.1%,"3,523,630",7.5%,"505,517",7.5%,"2,512,443",8.8%,9월,"4,903,321",8.4%,"930,607",7.5%,"1,678,334",7.4%,"54,264",7.5%,"6,914,650",7.2%,"1,029,360",6.8%,"1,947,568",7.7%,"1,262,188",7.1%,9월,"3,795,223",10.1%,"4,080,017",8.6%,,,"6,265,948",8.1%,"2,133,460",9.0%,"1,769,907",8.8%,"4,600,279",8.3%,"2,762,122",10.4%,"239,418,570",7.6%
10월,"47,102,615",9.1%,"14,934,309",9.4%,"3,152,754",10.0%,"1,773,812",9.9%,"14,760,244",9.1%,"3,270,966",9.6%,"339,269",8.8%,"4,600,052",9.5%,10월,"12,623,714",9.5%,"9,169,951",9.3%,"592,317",9.6%,"15,236,252",9.4%,"10,371,016",9.4%,"8,008,317",9.5%,"19,647,008",9.2%,"1,387,958",9.4%,10월,"21,420,010",9.5%,"1,693,463",9.7%,"9,097,356",9.5%,"29,264,033",8.8%,"3,007,909",10.0%,"4,202,908",8.9%,"600,656",8.9%,"2,564,379",8.9%,10월,"5,012,911",8.6%,"1,243,943",10.1%,"2,139,203",9.4%,"62,878",8.6%,"8,617,898",9.0%,"1,441,980",9.6%,"2,401,591",9.5%,"1,720,261",9.7%,10월,"4,007,892",10.7%,"4,303,578",9.1%,,,"6,693,566",8.7%,"2,230,674",9.4%,"1,901,332",9.5%,"4,977,497",9.0%,"3,385,688",12.8%,"291,263,304",9.3%
11월,"44,944,375",8.7%,"13,781,306",8.7%,"2,817,471",8.9%,"1,632,709",9.1%,"13,860,305",8.5%,"3,001,714",8.8%,"312,159",8.1%,"4,188,324",8.6%,11월,"11,733,412",8.8%,"8,450,092",8.5%,"556,446",9.0%,"14,113,652",8.7%,"9,869,202",8.9%,"7,368,517",8.7%,"18,482,411",8.7%,"1,236,488",8.4%,11월,"19,792,513",8.8%,"1,364,750",7.8%,"8,097,902",8.5%,"28,241,546",8.5%,"2,629,015",8.8%,"3,997,106",8.5%,"574,280",8.5%,"2,521,325",8.8%,11월,"4,853,058",8.3%,"1,074,450",8.7%,"2,027,659",8.9%,"58,822",8.1%,"8,094,802",8.5%,"1,273,590",8.5%,"2,232,709",8.8%,"1,525,301",8.6%,11월,"3,823,514",10.2%,"4,097,492",8.6%,,,"6,370,199",8.3%,"1,921,703",8.1%,"1,694,753",8.5%,"4,712,886",8.5%,"3,264,378",12.3%,"272,699,626",8.7%
12월,"42,848,185",8.3%,"13,304,389",8.4%,"2,436,053",7.7%,"1,375,421",7.7%,"12,749,724",7.8%,"2,978,543",8.7%,"296,283",7.7%,"3,826,994",7.9%,12월,"10,363,088",7.8%,"7,520,454",7.6%,"502,611",8.1%,"13,004,496",8.0%,"8,959,631",8.1%,"6,794,809",8.0%,"17,407,788",8.2%,"1,132,995",7.7%,12월,"18,167,250",8.1%,"1,309,409",7.5%,"8,074,056",8.5%,"27,253,098",8.2%,"2,477,731",8.3%,"3,995,717",8.5%,"580,645",8.6%,"2,418,054",8.4%,12월,"4,779,440",8.2%,"898,729",7.3%,"1,817,560",8.0%,"55,631",7.6%,"7,323,796",7.7%,"1,216,868",8.1%,"2,000,086",7.9%,"1,429,550",8.1%,12월,"3,732,620",9.9%,"3,910,325",8.3%,"85,293",100.0%,"6,201,863",8.1%,"1,651,613",7.0%,"1,491,768",7.4%,"4,680,436",8.5%,"3,143,804",11.8%,"256,233,066",8.2%
